Sequence,Order_Count,Order Number,N_Items,Order_Item,Status,Product_ID
1,1,000001,1,1,Complete,103060209
2,2,000002,8,1,Complete,201030402
3,2,000002,8,2,Complete,103040203
4,2,000002,8,3,Complete,101020503
5,2,000002,8,4,Complete,101040401
6,2,000002,8,5,Complete,201040303
7,2,000002,8,6,Complete,103010301
8,2,000002,8,7,Complete,201060202
9,2,000002,8,8,Complete,201020401
10,3,000003,8,1,Complete,102020705
11,3,000003,8,2,Complete,104010805
12,3,000003,8,3,Complete,101030804
13,3,000003,8,4,Complete,103020705
14,3,000003,8,5,Complete,203050603
15,3,000003,8,6,Complete,101040905
16,3,000003,8,7,Complete,104040703
17,3,000003,8,8,Complete,203050806
18,4,000004,2,1,Complete,204011007
19,4,000004,2,2,Complete,102050907
20,5,000005,6,1,Complete,102060508
21,5,000005,6,2,Complete,104030301
22,5,000005,6,3,Complete,104040201
23,5,000005,6,4,Complete,302060309
24,5,000005,6,5,Complete,104040309
25,5,000005,6,6,Complete,103040201
26,6,000006,6,1,Complete,104060403
27,6,000006,6,2,Complete,102030305
28,6,000006,6,3,Complete,103010205
29,6,000006,6,4,Complete,101040302
30,6,000006,6,5,Complete,103060404
31,6,000006,6,6,Complete,203040403
32,7,000007,1,1,Complete,103030701
33,8,000008,7,1,Complete,201040709
34,8,000008,7,2,Complete,204010508
35,8,000008,7,3,Complete,103060807
36,8,000008,7,4,Complete,103020607
37,8,000008,7,5,Complete,102030609
38,8,000008,7,6,Complete,102010609
39,8,000008,7,7,Complete,104040706
40,9,000009,3,1,Complete,102030109
41,9,000009,3,2,Complete,102061009
42,9,000009,3,3,Complete,201030110
43,10,000010,7,1,Complete,109060605
44,10,000010,7,2,Complete,110040806
45,10,000010,7,3,Complete,110020605
46,10,000010,7,4,Complete,110050903
47,10,000010,7,5,Complete,110050806
48,10,000010,7,6,Complete,104010605
49,10,000010,7,7,Complete,202020503
50,11,000011,2,1,Complete,203061008
51,11,000011,2,2,Complete,104041001
52,12,000012,3,1,Complete,102060805
53,12,000012,3,2,Complete,103050106
54,12,000012,3,3,Complete,104011008
55,13,000013,3,1,Complete,210010907
56,13,000013,3,2,Complete,210040907
57,13,000013,3,3,Complete,104010106
58,14,000014,8,1,Complete,204051007
59,14,000014,8,2,Complete,104020807
60,14,000014,8,3,Complete,210021005
61,14,000014,8,4,Complete,210041007
62,14,000014,8,5,Complete,104020805
63,14,000014,8,6,Complete,204040908
64,14,000014,8,7,Complete,204011007
65,14,000014,8,8,Complete,104020907
66,15,000015,3,1,Complete,102020206
67,15,000015,3,2,Complete,103050206
68,15,000015,3,3,Complete,103040106
69,16,000016,8,1,Complete,101010708
70,16,000016,8,2,Complete,101020706
71,16,000016,8,3,Complete,201060705
72,16,000016,8,4,Complete,203050606
73,16,000016,8,5,Complete,201040708
74,16,000016,8,6,Complete,101060608
75,16,000016,8,7,Complete,103010508
76,16,000016,8,8,Complete,101030708
77,17,000017,2,1,Complete,104030807
78,17,000017,2,2,Complete,102061008
79,18,000018,2,1,Complete,102060108
80,18,000018,2,2,Complete,210030206
81,19,000019,8,1,Complete,202030501
82,19,000019,8,2,Complete,204040602
83,19,000019,8,3,Complete,101050703
84,19,000019,8,4,Complete,202040503
85,19,000019,8,5,Complete,101050702
86,19,000019,8,6,Complete,102050701
87,19,000019,8,7,Complete,102060703
88,19,000019,8,8,Complete,102030402
89,20,000020,5,1,Complete,101051001
90,20,000020,5,2,Complete,104020909
91,20,000020,5,3,Complete,202060901
92,20,000020,5,4,Complete,102050910
93,20,000020,5,5,Complete,103020901
94,21,000021,3,1,Complete,203030101
95,21,000021,3,2,Complete,103010103
96,21,000021,3,3,Complete,103040101
97,22,000022,7,1,Complete,103040607
98,22,000022,7,2,Complete,103030709
99,22,000022,7,3,Complete,201050709
100,22,000022,7,4,Complete,301050706
101,22,000022,7,5,Complete,203020506
102,22,000022,7,6,Complete,103040506
103,22,000022,7,7,Complete,103060607
104,23,000023,8,1,Complete,108060605
105,23,000023,8,2,Complete,207040405
106,23,000023,8,3,Complete,107030705
107,23,000023,8,4,Complete,108060502
108,23,000023,8,5,Complete,207060703
109,23,000023,8,6,Complete,206030703
110,23,000023,8,7,Complete,106050707
111,23,000023,8,8,Complete,107010703
112,24,000024,8,1,Complete,210051005
113,24,000024,8,2,Complete,110051007
114,24,000024,8,3,Complete,304010806
115,24,000024,8,4,Complete,104020905
116,24,000024,8,5,Complete,104061006
117,24,000024,8,6,Complete,104050806
118,24,000024,8,7,Complete,110060806
119,24,000024,8,8,Complete,110010907
120,25,000025,4,1,Complete,104050905
121,25,000025,4,2,Complete,201030905
122,25,000025,4,3,Complete,104030705
123,25,000025,4,4,Complete,202060903
124,26,000026,8,1,Complete,103040310
125,26,000026,8,2,Complete,101050309
126,26,000026,8,3,Complete,102050401
127,26,000026,8,4,Complete,102010109
128,26,000026,8,5,Complete,103020401
129,26,000026,8,6,Complete,102020201
130,26,000026,8,7,Complete,201060310
131,26,000026,8,8,Complete,103020210
132,27,000027,6,1,Complete,203060504
133,27,000027,6,2,Complete,103040606
134,27,000027,6,3,Complete,103060404
135,27,000027,6,4,Complete,103010706
136,27,000027,6,5,Complete,101060407
137,27,000027,6,6,Complete,103030404
138,28,000028,2,1,Complete,203041010
139,28,000028,2,2,Complete,204051010
140,29,000029,4,1,Complete,104040402
141,29,000029,4,2,Complete,104030301
142,29,000029,4,3,Complete,104050601
143,29,000029,4,4,Complete,102060501
144,30,000030,3,1,Complete,104010205
145,30,000030,3,2,Complete,101060405
146,30,000030,3,3,Complete,203030105
147,31,000031,1,1,Complete,104061009
148,32,000032,6,1,Complete,104050504
149,32,000032,6,2,Complete,110030403
150,32,000032,6,3,Complete,204020606
151,32,000032,6,4,Complete,204050706
152,32,000032,6,5,Complete,110020606
153,32,000032,6,6,Complete,110020505
154,33,000033,8,1,Complete,102030307
155,33,000033,8,2,Complete,101020107
156,33,000033,8,3,Complete,101030206
157,33,000033,8,4,Complete,102040108
158,33,000033,8,5,Complete,203050308
159,33,000033,8,6,Complete,104040408
160,33,000033,8,7,Complete,202050108
161,33,000033,8,8,Complete,201030208
162,34,000034,5,1,Complete,101060403
163,34,000034,5,2,Complete,101040604
164,34,000034,5,3,Complete,101010702
165,34,000034,5,4,Complete,201020704
166,34,000034,5,5,Complete,203030603
167,35,000035,4,1,Complete,104020603
168,35,000035,4,2,Complete,102030601
169,35,000035,4,3,Complete,109020303
170,35,000035,4,4,Complete,102050601
171,36,000036,2,1,Complete,203030809
172,36,000036,2,2,Complete,101050801
173,37,000037,2,1,Complete,201040509
174,37,000037,2,2,Complete,101030508
175,38,000038,6,1,Complete,201020509
176,38,000038,6,2,Complete,103050408
177,38,000038,6,3,Complete,103060207
178,38,000038,6,4,Complete,101050507
179,38,000038,6,5,Complete,103010509
180,38,000038,6,6,Complete,101020309
181,39,000039,5,1,Complete,204020607
182,39,000039,5,2,Complete,102060509
183,39,000039,5,3,Complete,101050807
184,39,000039,5,4,Complete,304060809
185,39,000039,5,5,Complete,104030809
186,40,000040,7,1,Complete,104060507
187,40,000040,7,2,Complete,110050308
188,40,000040,7,3,Complete,110050307
189,40,000040,7,4,Complete,210050209
190,40,000040,7,5,Complete,104010107
191,40,000040,7,6,Complete,210050409
192,40,000040,7,7,Complete,104030408
193,41,000041,1,1,Complete,201010605
194,42,000042,8,1,Complete,110010509
195,42,000042,8,2,Complete,204010510
196,42,000042,8,3,Complete,104060401
197,42,000042,8,4,Complete,210050508
198,42,000042,8,5,Complete,110020308
199,42,000042,8,6,Complete,104050308
200,42,000042,8,7,Complete,104030607
201,42,000042,8,8,Complete,104010508
202,43,000043,6,1,Complete,103020809
203,43,000043,6,2,Complete,101030809
204,43,000043,6,3,Complete,204010801
205,43,000043,6,4,Complete,102010801
206,43,000043,6,5,Complete,102050801
207,43,000043,6,6,Complete,104050601
208,44,000044,8,1,Complete,103040202
209,44,000044,8,2,Complete,103010103
210,44,000044,8,3,Complete,101020203
211,44,000044,8,4,Complete,101030301
212,44,000044,8,5,Complete,203010103
213,44,000044,8,6,Complete,101060304
214,44,000044,8,7,Complete,201030303
215,44,000044,8,8,Complete,101010201
216,45,000045,4,1,Complete,105060401
217,45,000045,4,2,Complete,208050601
218,45,000045,4,3,Complete,205020608
219,45,000045,4,4,Complete,106040401
220,46,000046,3,1,Complete,201050905
221,46,000046,3,2,Complete,103020903
222,46,000046,3,3,Complete,103060904
223,47,000047,2,1,Complete,102010504
224,47,000047,2,2,Complete,101020705
225,48,000048,7,1,Complete,104030804
226,48,000048,7,2,Complete,101010805
227,48,000048,7,3,Complete,204051005
228,48,000048,7,4,Complete,101050803
229,48,000048,7,5,Complete,103011005
230,48,000048,7,6,Complete,102040905
231,48,000048,7,7,Complete,101011005
232,49,000049,5,1,Complete,101060806
233,49,000049,5,2,Complete,101030705
234,49,000049,5,3,Complete,203060803
235,49,000049,5,4,Complete,201050804
236,49,000049,5,5,Complete,103010804
237,50,000050,3,1,Complete,102060910
238,50,000050,3,2,Complete,103020501
239,50,000050,3,3,Complete,101060710
240,51,000051,7,1,Complete,103040308
241,51,000051,7,2,Complete,101010408
242,51,000051,7,3,Complete,201050409
243,51,000051,7,4,Complete,103050409
244,51,000051,7,5,Complete,201010208
245,51,000051,7,6,Complete,103020407
246,51,000051,7,7,Complete,103060209
247,52,000052,3,1,Complete,104010506
248,52,000052,3,2,Complete,210020406
249,52,000052,3,3,Complete,110050506
250,53,000053,2,1,Complete,208020101
251,53,000053,2,2,Complete,208010310
252,54,000054,3,1,Complete,307020803
253,54,000054,3,2,Complete,107020803
254,54,000054,3,3,Complete,107010903
255,55,000055,4,1,Complete,101030603
256,55,000055,4,2,Complete,304040501
257,55,000055,4,3,Complete,204030701
258,55,000055,4,4,Complete,201030402
259,56,000056,4,1,Complete,102040505
260,56,000056,4,2,Complete,103050405
261,56,000056,4,3,Complete,103060706
262,56,000056,4,4,Complete,102030705
263,57,000057,7,1,Complete,103020805
264,57,000057,7,2,Complete,103030806
265,57,000057,7,3,Complete,101050806
266,57,000057,7,4,Complete,103021005
267,57,000057,7,5,Complete,103010704
268,57,000057,7,6,Complete,103010606
269,57,000057,7,7,Complete,201060803
270,58,000058,3,1,Complete,101050410
271,58,000058,3,2,Complete,101030409
272,58,000058,3,3,Complete,201010508
273,59,000059,1,1,Complete,202060302
274,60,000060,6,1,Complete,104060801
275,60,000060,6,2,Complete,101040904
276,60,000060,6,3,Complete,103010101
277,60,000060,6,4,Complete,202060103
278,60,000060,6,5,Complete,102061002
279,60,000060,6,6,Complete,103040101
280,61,000061,7,1,Complete,104060104
281,61,000061,7,2,Complete,104010201
282,61,000061,7,3,Complete,104030104
283,61,000061,7,4,Complete,104020204
284,61,000061,7,5,Complete,101050202
285,61,000061,7,6,Complete,102030203
286,61,000061,7,7,Complete,102020204
287,62,000062,4,1,Complete,201020804
288,62,000062,4,2,Complete,101050805
289,62,000062,4,3,Complete,202060804
290,62,000062,4,4,Complete,101020905
291,63,000063,2,1,Complete,103060106
292,63,000063,2,2,Complete,203040206
293,64,000064,3,1,Complete,103060210
294,64,000064,3,2,Complete,202020110
295,64,000064,3,3,Complete,304030201
296,65,000065,3,1,Complete,102031006
297,65,000065,3,2,Complete,110010804
298,65,000065,3,3,Complete,204050805
299,66,000066,8,1,Complete,104040408
300,66,000066,8,2,Complete,101060109
301,66,000066,8,3,Complete,102030209
302,66,000066,8,4,Complete,101030410
303,66,000066,8,5,Complete,104020210
304,66,000066,8,6,Complete,103040410
305,66,000066,8,7,Complete,204030307
306,66,000066,8,8,Complete,302030401
307,67,000067,2,1,Complete,103030908
308,67,000067,2,2,Complete,201040804
309,68,000068,4,1,Complete,107050102
310,68,000068,4,2,Complete,107020201
311,68,000068,4,3,Complete,206010301
312,68,000068,4,4,Complete,105020301
313,69,000069,4,1,Complete,103060408
314,69,000069,4,2,Complete,201040307
315,69,000069,4,3,Complete,203030309
316,69,000069,4,4,Complete,103020410
317,70,000070,4,1,Complete,104040806
318,70,000070,4,2,Complete,104021006
319,70,000070,4,3,Complete,109030805
320,70,000070,4,4,Complete,109021006
321,71,000071,3,1,Complete,204030805
322,71,000071,3,2,Complete,102010903
323,71,000071,3,3,Complete,103021002
324,72,000072,2,1,Complete,101060905
325,72,000072,2,2,Complete,103020805
326,73,000073,4,1,Complete,105060504
327,73,000073,4,2,Complete,107040505
328,73,000073,4,3,Complete,106010604
329,73,000073,4,4,Complete,108050503
330,74,000074,2,1,Complete,102010503
331,74,000074,2,2,Complete,303060701
332,75,000075,4,1,Complete,302060210
333,75,000075,4,2,Complete,103040409
334,75,000075,4,3,Complete,104050309
335,75,000075,4,4,Complete,102050609
336,76,000076,8,1,Complete,109011008
337,76,000076,8,2,Complete,210060107
338,76,000076,8,3,Complete,204031009
339,76,000076,8,4,Complete,210050109
340,76,000076,8,5,Complete,204010110
341,76,000076,8,6,Complete,104031007
342,76,000076,8,7,Complete,209010109
343,76,000076,8,8,Complete,109021009
344,77,000077,4,1,Complete,104040704
345,77,000077,4,2,Complete,104050704
346,77,000077,4,3,Complete,101010805
347,77,000077,4,4,Complete,203060704
348,78,000078,3,1,Complete,103040401
349,78,000078,3,2,Complete,203030401
350,78,000078,3,3,Complete,104050402
351,79,000079,7,1,Complete,203060309
352,79,000079,7,2,Complete,101060309
353,79,000079,7,3,Complete,103050310
354,79,000079,7,4,Complete,101010401
355,79,000079,7,5,Complete,101040410
356,79,000079,7,6,Complete,101050501
357,79,000079,7,7,Complete,103020601
358,80,000080,5,1,Complete,103060310
359,80,000080,5,2,Complete,104050310
360,80,000080,5,3,Complete,104020410
361,80,000080,5,4,Complete,101020310
362,80,000080,5,5,Complete,201030308
363,81,000081,2,1,Complete,110020208
364,81,000081,2,2,Complete,104010509
365,82,000082,3,1,Complete,101050105
366,82,000082,3,2,Complete,101030302
367,82,000082,3,3,Complete,104020102
368,83,000083,3,1,Complete,203060502
369,83,000083,3,2,Complete,103020503
370,83,000083,3,3,Complete,103030504
371,84,000084,3,1,Complete,103050809
372,84,000084,3,2,Complete,103031010
373,84,000084,3,3,Complete,203040108
374,85,000085,2,1,Complete,101040309
375,85,000085,2,2,Complete,101030507
376,86,000086,7,1,Complete,102030403
377,86,000086,7,2,Complete,109010403
378,86,000086,7,3,Complete,309020701
379,86,000086,7,4,Complete,110050503
380,86,000086,7,5,Complete,109020704
381,86,000086,7,6,Complete,202010703
382,86,000086,7,7,Complete,104060601
383,87,000087,8,1,Complete,102050101
384,87,000087,8,2,Complete,103040110
385,87,000087,8,3,Complete,302030101
386,87,000087,8,4,Complete,203030108
387,87,000087,8,5,Complete,104060808
388,87,000087,8,6,Complete,104051009
389,87,000087,8,7,Complete,203040101
390,87,000087,8,8,Complete,101030101
391,88,000088,2,1,Complete,210051005
392,88,000088,2,2,Complete,110010905
393,89,000089,8,1,Complete,101030410
394,89,000089,8,2,Complete,101020210
395,89,000089,8,3,Complete,102030401
396,89,000089,8,4,Complete,103020408
397,89,000089,8,5,Complete,204060209
398,89,000089,8,6,Complete,204060210
399,89,000089,8,7,Complete,102020407
400,89,000089,8,8,Complete,103020310
401,90,000090,8,1,Complete,102040704
402,90,000090,8,2,Complete,103040604
403,90,000090,8,3,Complete,202030506
404,90,000090,8,4,Complete,102040705
405,90,000090,8,5,Complete,104020704
406,90,000090,8,6,Complete,104040604
407,90,000090,8,7,Complete,204020507
408,90,000090,8,8,Complete,102060606
409,91,000091,6,1,Complete,101030806
410,91,000091,6,2,Complete,103010603
411,91,000091,6,3,Complete,201060604
412,91,000091,6,4,Complete,101030605
413,91,000091,6,5,Complete,101060505
414,91,000091,6,6,Complete,103050505
415,92,000092,1,1,Complete,103041007
416,93,000093,2,1,Complete,102050603
417,93,000093,2,2,Complete,102030603
418,94,000094,6,1,Complete,201060203
419,94,000094,6,2,Complete,201040105
420,94,000094,6,3,Complete,103050205
421,94,000094,6,4,Complete,104060203
422,94,000094,6,5,Complete,103040103
423,94,000094,6,6,Complete,103060105
424,95,000095,3,1,Complete,202050208
425,95,000095,3,2,Complete,102060306
426,95,000095,3,3,Complete,201020209
427,96,000096,3,1,Complete,110050104
428,96,000096,3,2,Complete,110020104
429,96,000096,3,3,Complete,204040103
430,97,000097,3,1,Complete,101030501
431,97,000097,3,2,Complete,104020201
432,97,000097,3,3,Complete,101020510
433,98,000098,4,1,Complete,101061005
434,98,000098,4,2,Complete,103030904
435,98,000098,4,3,Complete,102040804
436,98,000098,4,4,Complete,104030704
437,99,000099,5,1,Complete,110030307
438,99,000099,5,2,Complete,104060408
439,99,000099,5,3,Complete,210010406
440,99,000099,5,4,Complete,110010307
441,99,000099,5,5,Complete,110060408
442,100,000100,3,1,Complete,105030609
443,100,000100,3,2,Complete,108030809
444,100,000100,3,3,Complete,207060709
445,101,000101,7,1,Complete,101020907
446,101,000101,7,2,Complete,101020109
447,101,000101,7,3,Complete,103030909
448,101,000101,7,4,Complete,201040108
449,101,000101,7,5,Complete,201040809
450,101,000101,7,6,Complete,101021009
451,101,000101,7,7,Complete,101030109
452,102,000102,1,1,Complete,107010110
453,103,000103,2,1,Complete,101030809
454,103,000103,2,2,Complete,102060807
455,104,000104,5,1,Complete,101060609
456,104,000104,5,2,Complete,102040801
457,104,000104,5,3,Complete,202010710
458,104,000104,5,4,Complete,103060808
459,104,000104,5,5,Complete,104010801
460,105,000105,4,1,Complete,104010808
461,105,000105,4,2,Complete,210061005
462,105,000105,4,3,Complete,110030706
463,105,000105,4,4,Complete,104041007
464,106,000106,1,1,Complete,102060201
465,107,000107,4,1,Complete,104040306
466,107,000107,4,2,Complete,202040104
467,107,000107,4,3,Complete,103040204
468,107,000107,4,4,Complete,103030104
469,108,000108,2,1,Complete,101010203
470,108,000108,2,2,Complete,203020102
471,109,000109,7,1,Complete,202030604
472,109,000109,7,2,Complete,104010401
473,109,000109,7,3,Complete,101020303
474,109,000109,7,4,Complete,104020702
475,109,000109,7,5,Complete,101050303
476,109,000109,7,6,Complete,102040504
477,109,000109,7,7,Complete,301060404
478,110,000110,3,1,Complete,104041006
479,110,000110,3,2,Complete,202040904
480,110,000110,3,3,Complete,204060806
481,111,000111,4,1,Complete,110051006
482,111,000111,4,2,Complete,104050405
483,111,000111,4,3,Complete,104030406
484,111,000111,4,4,Complete,104050506
485,112,000112,7,1,Complete,304010907
486,112,000112,7,2,Complete,103010807
487,112,000112,7,3,Complete,104020610
488,112,000112,7,4,Complete,103010607
489,112,000112,7,5,Complete,102040810
490,112,000112,7,6,Complete,104050807
491,112,000112,7,7,Complete,202030707
492,113,000113,8,1,Complete,103030603
493,113,000113,8,2,Complete,301030902
494,113,000113,8,3,Complete,101030804
495,113,000113,8,4,Complete,101030802
496,113,000113,8,5,Complete,103030904
497,113,000113,8,6,Complete,103030904
498,113,000113,8,7,Complete,103030804
499,113,000113,8,8,Complete,301060704
500,114,000114,2,1,Complete,104010205
